"","TLC","Station_Name","Entries.and.exits...Full.price.tickets","Entries.and.exits...Reduced.price.tickets","Entries.and.exits...Season.tickets","Tickets_Sold","Rank_Tickets","Interchanges","Main_OD","NLC","Region","Station_Owner","TRUE.","FALSE.","Route_Name"
"150","ASY","Ashley",3050,2948,1904,7902,2363,0,"Altrincham",2850,"North West","Northern Trains",0,1,"Mid-Cheshire Line"
"151","ATB","Attenborough",37988,10386,4330,52704,1931,0,"Nottingham",1624,"East Midlands","East Midlands Railway",0,1,"Nottingham to Matlock"
"152","ATH","Atherstone",36884,56386,5420,98690,1642,0,"London Euston",1074,"West Midlands","West Midlands Trains (London Northwestern Railway)",0,1,"Trent Valley Line"
"153","ATL","Attleborough",63556,82966,22374,168896,1349,0,"Norwich",7367,"East of England","Greater Anglia",0,1,"Breckland Line"
"154","ATN","Atherton",79802,73062,39998,192862,1268,0,"Manchester Victoria",2584,"North West","Northern Trains",0,1,"Manchester to Southport Line"
"155","ATT","Attadale",776,234,32,1042,2507,0,"Inverness",8608,"Scotland","ScotRail",0,1,"Kyle of Lochalsh Line"
"156","AUD","Audley End",159338,313114,151118,623570,656,3349,"London Liverpool Street",7017,"East of England","Greater Anglia",0,1,"Bethnal Green and King's Lynn Line"
"157","AUG","Aughton Park",33010,71086,35454,139550,1461,0,"Liverpool Central",2215,"North West","Merseyrail",0,1,"Merseyrail Northern Line"
"158","AUI","Ardlui",2492,790,0,3282,2439,0,"Glasgow Queen Street",9962,"Scotland","ScotRail",0,1,"West Highland Line"
"159","AUK","Auchinleck",17162,25948,1422,44532,1983,0,"Glasgow Central",9457,"Scotland","ScotRail",0,1,"Glasgow South Western Line"
"160","AUR","Aberdour",28576,47162,3214,78952,1744,0,"Edinburgh",9090,"Scotland","ScotRail",0,1,"Fife Circle Line"
"161","AUW","Ascott-Under-Wychwood",1154,136,338,1628,2476,0,"Oxford",3003,"South East","Great Western Railway",0,1,"Cotswold Line"
"162","AVF","Avoncliff",11520,10180,1702,23402,2179,0,"Bath Spa",3265,"South West","Great Western Railway",0,1,"Wessex Mainline"
