Station name,Ticket Barrier,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,Entries and exits - All tickets,"Entries and exits
Rank",Interchanges,Main origin or destination station,"Three Letter Code
(TLC)",Region,Station facility owner,,,,,,,,,
Witton (West Midlands),,"51,072","95,708","44,610","191,390","1,275",0,Birmingham New Street,WTT,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Workington,,"53,344","120,044","17,498","190,886","1,276",0,Carlisle,WKG,North West,Northern Trains,,,,,,,,,
Crowthorne,,"63,708","100,864","26,228","190,800","1,277",0,Reading,CRN,South East,Great Western Railway,,,,,,,,,
Thornliebank,,"64,508","102,602","23,344","190,454","1,278",0,Glasgow Central,THB,Scotland,ScotRail,,,,,,,,,
Dunton Green,,"49,870","97,618","42,402","189,890","1,279",0,London Bridge,DNG,South East,Southeastern,,,,,,,,,
Woodbridge,,"31,344","147,642","10,798","189,784","1,280",0,Ipswich,WDB,East of England,Greater Anglia,,,,,,,,,
Pengam,,"145,432","7,686","36,164","189,282","1,281",0,Cardiff Central,PGM,Wales,TfW Rail,,,,,,,,,
Pollokshaws East,,"61,460","90,272","36,600","188,332","1,282",0,Glasgow Central,PWE,Scotland,ScotRail,,,,,,,,,
Slaithwaite,,"78,676","84,130","25,338","188,144","1,283",0,Huddersfield,SWT,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Ledbury,,"55,418","101,368","31,174","187,960","1,284",87,Hereford,LED,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Markinch,,"65,978","117,366","4,048","187,392","1,285",0,Edinburgh,MNC,Scotland,ScotRail,,,,,,,,,
Littleport,,"53,726","92,526","40,500","186,752","1,286",0,Cambridge,LTP,East of England,Govia Thameslink Railway (Great Northern),,,,,,,,,
Snodland,,"59,288","51,880","75,224","186,392","1,287",0,London St Pancras International,SDA,South East,Southeastern,,,,,,,,,
Oban,,"52,766","73,586","59,786","186,138","1,288",0,Glasgow Queen Street,OBN,Scotland,ScotRail,,,,,,,,,
Edinburgh Gateway,,"102,632","63,952","19,180","185,764","1,289","7,755",Inverkeithing,EGY,Scotland,ScotRail,,,,,,,,,
Nantwich,,"114,438","57,892","13,360","185,690","1,290",0,Crewe,NAN,North West,TfW Rail,,,,,,,,,
Croftfoot,,"42,162","110,076","33,254","185,492","1,291",0,Glasgow Central,CFF,Scotland,ScotRail,,,,,,,,,
Effingham Junction,,"72,408","85,898","27,108","185,414","1,292","10,515",London Waterloo,EFF,South East,South Western Railway,,,,,,,,,
Wye,,"52,152","70,798","61,776","184,726","1,293",0,Ashford International,WYE,South East,Southeastern,,,,,,,,,
Greenbank,,"52,474","61,100","70,742","184,316","1,294",0,Knutsford,GBK,North West,Northern Trains,,,,,,,,,
Corkerhill,,"57,652","105,842","20,502","183,996","1,295",0,Glasgow Central,CKH,Scotland,ScotRail,,,,,,,,,
Marsden (Yorks),,"94,234","75,096","14,536","183,866","1,296",0,Huddersfield,MSN,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Ben Rhydding,,"86,022","60,154","37,606","183,782","1,297",0,Leeds,BEY,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Coatdyke,,"67,978","83,764","31,890","183,632","1,298",0,Glasgow Queen Street,COA,Scotland,ScotRail,,,,,,,,,
Stoke Mandeville,,"73,282","54,054","56,140","183,476","1,299",0,London Marylebone,SKM,South East,Chiltern Railways,,,,,,,,,
Stewarton,,"56,472","107,776","19,132","183,380","1,300",0,Glasgow Central,STT,Scotland,ScotRail,,,,,,,,,
Cam and Dursley,,"65,684","109,712","7,580","182,976","1,301",0,Bristol Temple Meads,CDU,South West,Great Western Railway,,,,,,,,,
Hillfoot,,"61,092","108,232","13,646","182,970","1,302",0,Glasgow Queen Street,HLF,Scotland,ScotRail,,,,,,,,,
Frodsham,,"114,428","60,848","7,324","182,600","1,303",0,Chester,FRD,North West,TfW Rail,,,,,,,,,
Burnside (South Lanarkshire),,"49,354","117,234","15,638","182,226","1,304",0,Glasgow Central,BUI,Scotland,ScotRail,,,,,,,,,
Southbourne,,"50,412","78,644","52,908","181,964","1,305",0,Chichester,SOB,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Cardonald,,"56,132","98,754","26,932","181,818","1,306",0,Glasgow Central,CDO,Scotland,ScotRail,,,,,,,,,
Pewsey,,"19,348","143,512","18,240","181,100","1,307",0,London Paddington,PEW,South West,Great Western Railway,,,,,,,,,
Westhoughton,,"75,562","63,240","41,228","180,030","1,308",0,Bolton,WHG,North West,Northern Trains,,,,,,,,,
Bromley North,,"66,136","76,374","37,386","179,896","1,309",0,London Bridge,BMN,London,Southeastern,,,,,,,,,
Dalreoch,,"45,380","73,492","60,628","179,500","1,310",0,Glasgow Queen Street,DLR,Scotland,ScotRail,,,,,,,,,
Whitchurch (Hampshire),,"31,996","110,144","37,178","179,318","1,311",0,London Waterloo,WCH,South East,South Western Railway,,,,,,,,,
Chepstow,,"101,694","60,608","16,972","179,274","1,312",0,Cardiff Central,CPW,Wales,TfW Rail,,,,,,,,,
Walmer,,"32,384","87,898","58,968","179,250","1,313",0,London St Pancras International,WAM,South East,Southeastern,,,,,,,,,
Winnersh Triangle,,"78,080","73,718","27,334","179,132","1,314",0,Reading,WTI,South East,South Western Railway,,,,,,,,,
Penmere,,"23,724","117,848","36,544","178,116","1,315",0,Truro,PNM,South West,Great Western Railway,,,,,,,,,
Hamstead (Birmingham),,"60,048","75,920","41,948","177,916","1,316",0,Birmingham New Street,HSD,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Newcraighall,,"83,174","90,448","4,182","177,804","1,317",0,Edinburgh,NEW,Scotland,ScotRail,,,,,,,,,
Lostock,,"87,876","51,594","37,826","177,296","1,318",0,Manchester Piccadilly,LOT,North West,Northern Trains,,,,,,,,,
Hartford (Cheshire),,"51,678","119,178","6,250","177,106","1,319",0,Liverpool Lime Street,HTF,North West,West Midlands Trains (London Northwestern Railway),,,,,,,,,
Shotton,,"129,040","41,564","6,440","177,044","1,320","12,408",Chester,SHT,Wales,TfW Rail,,,,,,,,,
Holmes Chapel,,"72,432","83,062","20,652","176,146","1,321",0,Manchester Piccadilly,HCH,North West,Northern Trains,,,,,,,,,
Denham,,"79,448","53,416","43,228","176,092","1,322",0,London Marylebone,DNM,South East,Chiltern Railways,,,,,,,,,
St Denys,,"49,154","106,560","20,110","175,824","1,323","34,969",Southampton Central,SDN,South East,South Western Railway,,,,,,,,,
Hillington East,,"52,988","78,874","43,924","175,786","1,324",0,Glasgow Central,HLE,Scotland,ScotRail,,,,,,,,,
Edge Hill,,"86,916","54,532","34,098","175,546","1,325","5,970",Liverpool Lime Street,EDG,North West,Northern Trains,,,,,,,,,
New Mills Central,,"60,090","72,616","42,744","175,450","1,326","2,507",Manchester Piccadilly,NMC,East Midlands,Northern Trains,,,,,,,,,
Sandal and Agbrigg,,"89,758","53,604","31,814","175,176","1,327",0,Leeds,SNA,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Matlock,,"44,896","123,000","6,344","174,240","1,328",0,Derby,MAT,East Midlands,East Midlands Railway,,,,,,,,,
Winsford,,"56,526","110,158","7,486","174,170","1,329",0,Liverpool Lime Street,WSF,North West,West Midlands Trains (London Northwestern Railway),,,,,,,,,
Micklefield,,"63,666","68,290","41,716","173,672","1,330","1,733",Leeds,MIK,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Tadworth,,"76,780","68,594","27,984","173,358","1,331",0,London Bridge,TAD,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Hough Green,,"66,552","76,784","29,610","172,946","1,332",0,Liverpool Lime Street,HGN,North West,Northern Trains,,,,,,,,,
Milford (Surrey),,"69,060","66,470","37,406","172,936","1,333",0,London Waterloo,MLF,South East,South Western Railway,,,,,,,,,
Armadale (West Lothian),,"68,552","88,818","15,548","172,918","1,334",0,Edinburgh,ARM,Scotland,ScotRail,,,,,,,,,
Prestonpans,,"90,898","73,784","8,236","172,918","1,334",0,Edinburgh,PST,Scotland,ScotRail,,,,,,,,,
Grateley,,"27,062","105,308","40,478","172,848","1,336",0,London Waterloo,GRT,South East,South Western Railway,,,,,,,,,
Witley,,"75,222","54,124","43,184","172,530","1,337",0,London Waterloo,WTY,South East,South Western Railway,,,,,,,,,
Oakham,,"41,554","120,410","10,212","172,176","1,338","3,345",Leicester,OKM,East Midlands,East Midlands Railway,,,,,,,,,
Normanton,,"89,908","55,716","26,478","172,102","1,339",0,Leeds,NOR,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Parkstone (Dorset),,"41,072","123,440","7,566","172,078","1,340",0,London Waterloo,PKS,South West,South Western Railway,,,,,,,,,
Wombwell,,"89,484","52,170","29,554","171,208","1,341",0,Sheffield,WOM,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Bat and Ball,,"58,060","49,044","63,628","170,732","1,342",0,Tonbridge,BBL,South East,Southeastern,,,,,,,,,
Capenhurst,,"67,322","84,892","18,514","170,728","1,343",0,Chester,CPU,North West,Merseyrail,,,,,,,,,
Yeovil Junction,,"19,182","141,084","10,208","170,474","1,344","8,140",London Waterloo,YVJ,South West,South Western Railway,,,,,,,,,
Barmouth,,"100,876","39,022","30,460","170,358","1,345",0,Harlech,BRM,Wales,TfW Rail,,,,,,,,,
Shelford (Cambs),,"62,766","76,000","31,496","170,262","1,346",0,Cambridge,SED,East of England,Greater Anglia,,,,,,,,,
Montpelier,,"117,166","42,216","10,158","169,540","1,347",0,Bristol Temple Meads,MTP,South West,Great Western Railway,,,,,,,,,
Gainsborough Lea Road,,"58,782","100,290","9,868","168,940","1,348",223,Lincoln,GBL,East Midlands,East Midlands Railway,,,,,,,,,
Attleborough,,"63,556","82,966","22,374","168,896","1,349",0,Norwich,ATL,East of England,Greater Anglia,,,,,,,,,
Belper,,"49,656","111,904","6,930","168,490","1,350","1,672",Derby,BLP,East Midlands,East Midlands Railway,,,,,,,,,
Bookham,,"70,190","75,158","22,706","168,054","1,351",0,London Waterloo,BKA,South East,South Western Railway,,,,,,,,,
Whifflet,,"57,230","92,096","18,674","168,000","1,352","2,671",Glasgow Central,WFF,Scotland,ScotRail,,,,,,,,,
Millom,,"43,770","93,376","30,356","167,502","1,353",0,Barrow-In-Furness,MLM,North West,Northern Trains,,,,,,,,,
Etchingham,,"37,094","83,900","46,366","167,360","1,354",0,London Bridge,ETC,South East,Southeastern,,,,,,,,,
Hawkhead,,"49,204","92,100","25,662","166,966","1,355",0,Glasgow Central,HKH,Scotland,ScotRail,,,,,,,,,
Spalding,,"50,454","104,812","11,594","166,860","1,356",0,Peterborough,SPA,East Midlands,East Midlands Railway,,,,,,,,,
Dore and Totley,,"55,028","104,510","7,320","166,858","1,357",0,Manchester Piccadilly,DOR,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Pinhoe,,"27,262","103,496","35,594","166,352","1,358",0,Exeter Central,PIN,South West,South Western Railway,,,,,,,,,
Mossley Hill,,"67,296","64,766","33,988","166,050","1,359",0,Liverpool Lime Street,MSH,North West,Northern Trains,,,,,,,,,
Severn Tunnel Junction,,"135,340","16,282","14,370","165,992","1,360","28,689",Bristol Temple Meads,STJ,Wales,TfW Rail,,,,,,,,,
Morecambe,,"29,078","118,424","17,806","165,308","1,361",0,Lancaster,MCM,North West,Northern Trains,,,,,,,,,
Burscough Bridge,,"62,458","77,292","25,548","165,298","1,362",0,Southport,BCB,North West,Northern Trains,,,,,,,,,
Runcorn East,,"112,716","38,052","14,394","165,162","1,363",1,Manchester Victoria,RUE,North West,TfW Rail,,,,,,,,,
Taffs Well,,"122,602","7,134","34,946","164,682","1,364",0,Cardiff Central,TAF,Wales,TfW Rail,,,,,,,,,
Coleshill Parkway,,"125,284","24,982","13,776","164,042","1,365",0,Birmingham New Street,CEH,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Wemyss Bay,,"62,258","97,822","3,956","164,036","1,366",0,Glasgow Central,WMS,Scotland,ScotRail,,,,,,,,,
Frimley,,"65,464","73,888","24,566","163,918","1,367",0,Ascot (Berks),FML,South East,South Western Railway,,,,,,,,,
Balcombe,,"48,736","83,260","31,384","163,380","1,368",0,London Bridge,BAB,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Filey,,"26,066","127,086","10,070","163,222","1,369",0,Scarborough,FIL,Yorkshire and The Humber,Northern Trains,,,,,,,,,
St Helens Junction,,"54,506","79,642","29,026","163,174","1,370",23,Liverpool Lime Street,SHJ,North West,Northern Trains,,,,,,,,,
Burnham-On-Crouch,,"58,444","62,700","41,826","162,970","1,371",0,London Liverpool Street,BUU,East of England,Greater Anglia,,,,,,,,,
Williamwood,,"52,030","95,378","15,496","162,904","1,372",0,Glasgow Central,WLM,Scotland,ScotRail,,,,,,,,,
Rainhill,,"67,688","64,418","30,708","162,814","1,373",0,Liverpool Lime Street,RNH,North West,Northern Trains,,,,,,,,,
South Gyle,,"67,888","83,174","11,650","162,712","1,374",0,Edinburgh,SGL,Scotland,ScotRail,,,,,,,,,
Roby,,"58,178","68,150","36,278","162,606","1,375",0,Liverpool Lime Street,ROB,North West,Northern Trains,,,,,,,,,
Carnforth,,"24,468","107,334","30,598","162,400","1,376","15,713",Lancaster,CNF,North West,Northern Trains,,,,,,,,,
Dronfield,,"64,260","84,552","13,572","162,384","1,377",0,Sheffield,DRO,East Midlands,Northern Trains,,,,,,,,,
Poynton,,"61,536","87,192","13,202","161,930","1,378",0,Manchester Piccadilly,PYT,North West,Northern Trains,,,,,,,,,
Daisy Hill,,"65,302","59,940","36,046","161,288","1,379",0,Manchester Victoria,DSY,North West,Northern Trains,,,,,,,,,
Milliken Park,,"43,588","83,624","33,902","161,114","1,380",0,Glasgow Central,MIN,Scotland,ScotRail,,,,,,,,,
Wool,,"34,894","118,430","7,258","160,582","1,381",0,Bournemouth,WOO,South West,South Western Railway,,,,,,,,,
Robroyston,,"51,670","96,910","11,366","159,946","1,382",0,Glasgow Queen Street,RRN,Scotland,ScotRail,,,,,,,,,
Moorthorpe,,"83,358","43,186","33,258","159,802","1,383",0,Leeds,MRP,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Frinton-on-Sea,,"29,512","95,444","34,486","159,442","1,384",0,Colchester,FRI,East of England,Greater Anglia,,,,,,,,,
Polsloe Bridge,,"52,750","89,686","16,822","159,258","1,385",0,Exeter Central,POL,South West,Great Western Railway,,,,,,,,,
East Garforth,,"66,980","50,312","41,640","158,932","1,386",0,Leeds,EGF,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Redland,,"104,858","45,166","8,112","158,136","1,387",0,Bristol Temple Meads,RDA,South West,Great Western Railway,,,,,,,,,
Crewkerne,,"10,976","105,606","40,980","157,562","1,388",0,London Waterloo,CKN,South West,South Western Railway,,,,,,,,,
Mytholmroyd,,"71,008","52,186","34,050","157,244","1,389",0,Manchester Victoria,MYT,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Saxmundham,,"36,250","114,950","6,014","157,214","1,390",0,London Liverpool Street,SAX,East of England,Greater Anglia,,,,,,,,,
Stonehouse,,"67,910","80,838","8,360","157,108","1,391",0,London Paddington,SHU,South West,Great Western Railway,,,,,,,,,
Parson Street,,"70,084","79,222","7,730","157,036","1,392",0,Weston-Super-Mare,PSN,South West,Great Western Railway,,,,,,,,,
Northfleet,,"64,126","59,292","33,472","156,890","1,393",0,Gravesend,NFL,South East,Southeastern,,,,,,,,,
Bredbury,,"64,914","57,046","34,486","156,446","1,394",0,Manchester Piccadilly,BDY,North West,Northern Trains,,,,,,,,,
Sherborne,,"19,202","132,056","4,224","155,482","1,395",0,London Waterloo,SHE,South West,South Western Railway,,,,,,,,,
Cononley,,"37,660","84,192","33,548","155,400","1,396",0,Skipton,CEY,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Elsecar,,"70,564","46,338","38,094","154,996","1,397",0,Sheffield,ELR,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Rugeley Trent Valley,,"31,494","109,376","13,910","154,780","1,398","37,174",London Euston,RGL,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
Blackrod,,"37,076","42,952","74,216","154,244","1,399",0,Manchester Piccadilly,BLK,North West,Northern Trains,,,,,,,,,
West Ruislip,,"80,326","63,132","10,726","154,184","1,400","1,756",London Marylebone,WRU,London,London Underground,,,,,,,,,
Bishop Auckland,,"33,046","103,540","16,978","153,564","1,401",0,Darlington,BIA,North East,Northern Trains,,,,,,,,,
Kemsley,,"58,928","38,986","55,626","153,540","1,402",0,Sittingbourne,KML,South East,Southeastern,,,,,,,,,
Edenbridge (Kent),,"32,116","56,890","64,532","153,538","1,403","39,025",Tonbridge,EBR,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Rhoose Cardiff International Airport,,"97,410","24,590","31,094","153,094","1,404",0,Cardiff Central,RIA,Wales,TfW Rail,,,,,,,,,
Pevensey and Westham,,"42,390","63,236","47,308","152,934","1,405",0,Eastbourne,PEV,South East,Govia Thameslink Railway (Southern),,,,,,,,,
Pencoed,,"99,144","29,818","23,908","152,870","1,406",0,Cardiff Central,PCD,Wales,TfW Rail,,,,,,,,,
South Ruislip,,"74,502","62,298","15,878","152,678","1,407",0,London Marylebone,SRU,London,London Underground,,,,,,,,,
Kendal,,"16,492","113,108","22,930","152,530","1,408",0,Windermere,KEN,North West,Northern Trains,,,,,,,,,
Porth,,"118,636","6,554","26,502","151,692","1,409",0,Cardiff Central,POR,Wales,TfW Rail,,,,,,,,,
Tisbury,,"23,356","104,594","23,680","151,630","1,410",0,Salisbury,TIS,South West,South Western Railway,,,,,,,,,
Cookham,,"55,220","67,574","28,808","151,602","1,411",0,London Paddington,COO,South East,Great Western Railway,,,,,,,,,
Little Sutton,,"68,274","65,274","17,206","150,754","1,412",0,Ellesmere Port,LTT,North West,Merseyrail,,,,,,,,,
Llanishen,,"113,874","8,068","28,776","150,718","1,413",0,Cardiff Central,LLS,Wales,TfW Rail,,,,,,,,,
Northolt Park,,"62,874","71,738","16,058","150,670","1,414",0,London Marylebone,NLT,London,Chiltern Railways,,,,,,,,,
Burntisland,,"53,250","85,592","11,820","150,662","1,415",0,Edinburgh,BTS,Scotland,ScotRail,,,,,,,,,
Northwich,,"55,292","79,756","15,550","150,598","1,416",0,Manchester Piccadilly,NWI,North West,Northern Trains,,,,,,,,,
Knottingley,,"81,296","46,810","22,316","150,422","1,417",0,Leeds,KNO,Yorkshire and The Humber,Northern Trains,,,,,,,,,
Garscadden,,"38,912","95,476","15,686","150,074","1,418",0,Glasgow Central,GRS,Scotland,ScotRail,,,,,,,,,
Shanklin,,"26,934","110,596","12,280","149,810","1,419",0,Ryde Esplanade,SHN,South East,South Western Railway (Island Line),,,,,,,,,
Bramhall,,"56,760","66,854","25,694","149,308","1,420",0,Manchester Piccadilly,BML,North West,Northern Trains,,,,,,,,,
Syston,,"99,514","26,976","22,612","149,102","1,421",0,Leicester,SYS,East Midlands,East Midlands Railway,,,,,,,,,
Crookston,,"49,576","81,724","17,330","148,630","1,422",0,Glasgow Central,CKT,Scotland,ScotRail,,,,,,,,,
Alexandria,,"43,810","78,782","25,748","148,340","1,423",0,Glasgow Queen Street,ALX,Scotland,ScotRail,,,,,,,,,
Tyseley,,"58,714","43,532","45,854","148,100","1,424",951,Birmingham Moor Street,TYS,West Midlands,West Midlands Trains (West Midlands Railway),,,,,,,,,
